the_geom,OBJECTID,PARK,PARK_NO,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
POINT (-87.59906508577284 41.763537212427146),1179,HOARD (EDISON),387,PLAYGROUND,OUTDOOR,-87.59906509,41.76353721,2607
POINT (-87.5990313508273 41.763650956897145),1180,HOARD (EDISON),387,SPRAY FEATURE,OUTDOOR,-87.59903135,41.76365096,2608
POINT (-87.60357716414214 41.82046188527441),1181,HOLLY,325,PLAYGROUND PARK,OUTDOOR,-87.60357716,41.82046189,2609
POINT (-87.60324808037572 41.82055472057303),1182,HOLLY,325,SPRAY FEATURE,OUTDOOR,-87.60324808,41.82055472,2610
POINT (-87.71109725988941 41.989159172968904),1183,HOLLYWOOD,75,BASKETBALL COURT,OUTDOOR,-87.71109726,41.98915917,2611
POINT (-87.71110463054117 41.989636805626155),1184,HOLLYWOOD,75,BASEBALL JR/SOFTBALL,OUTDOOR,-87.71110463,41.98963681,2612
POINT (-87.71179768756498 41.99007106671726),1185,HOLLYWOOD,75,BASEBALL JR/SOFTBALL,OUTDOOR,-87.71179769,41.99007107,2613
POINT (-87.71093912197824 41.988732293569235),1186,HOLLYWOOD,75,PLAYGROUND,OUTDOOR,-87.71093912,41.98873229,2614
POINT (-87.71116582267872 41.988908415114636),1187,HOLLYWOOD,75,SPRAY FEATURE,OUTDOOR,-87.71116582,41.98890842,2615
POINT (-87.71239898897568 41.98912361898896),1188,HOLLYWOOD,75,TENNIS COURT,OUTDOOR,-87.71239899,41.98912362,2616
POINT (-87.68530249136704 41.92171954030967),1189,HOLSTEIN,203,GYMNASIUM,INDOOR,-87.68530249,41.92171954,2617
POINT (-87.6850985162516 41.92198798166197),1190,HOLSTEIN,203,POOL (OUTDOOR),OUTDOOR,-87.68509852,41.92198798,2618
POINT (-87.68500274641008 41.92241733648966),1191,HOLSTEIN,203,PLAYGROUND,OUTDOOR,-87.68500275,41.92241734,2619
POINT (-87.68490412807513 41.92145583676054),1192,HOLSTEIN,203,BASEBALL SR,OUTDOOR,-87.68490413,41.92145584,2620
POINT (-87.68486454663604 41.922149271844),1193,HOLSTEIN,203,SPRAY FEATURE,OUTDOOR,-87.68486455,41.92214927,2621
POINT (-87.71045056353437 41.85225732475803),1194,HOMAN (JOSEPH),1108,PLAYGROUND PARK,OUTDOOR,-87.71045056,41.85225732,2622
POINT (-87.60990004244266 41.810146086915225),1195,HONEYSUCKLE,351,PLAYGROUND PARK,OUTDOOR,-87.60990004,41.81014609,2623
POINT (-87.70322393415347 41.875661975643794),1196,HORAN (ALBERT),1035,BASKETBALL COURT,OUTDOOR,-87.70322393,41.87566198,2624
POINT (-87.70453462460765 41.87562959039935),1197,HORAN (ALBERT),1035,BASEBALL JR/SOFTBALL,OUTDOOR,-87.70453462,41.87562959,2625
POINT (-87.70267203767406 41.87570181332488),1198,HORAN (ALBERT),1035,PLAYGROUND,OUTDOOR,-87.70267204,41.87570181,2626
POINT (-87.70239909058066 41.87564095992352),1199,HORAN (ALBERT),1035,SPRAY FEATURE,OUTDOOR,-87.70239909,41.87564096,2627
POINT (-87.72058354474757 41.861872745976335),1200,HORNBEAM,353,PLAYGROUND PARK,OUTDOOR,-87.72058354,41.86187275,2628
POINT (-87.7204411789618 41.861976501977196),1201,HORNBEAM,353,SPRAY FEATURE,OUTDOOR,-87.72044118,41.8619765,2629
POINT (-87.69646966599178 41.960882388197966),1202,HORNER (HENRY),228,BASKETBALL COURT,OUTDOOR,-87.69646967,41.96088239,2630
POINT (-87.69673477055919 41.96087443925317),1203,HORNER (HENRY),228,BASKETBALL COURT,OUTDOOR,-87.69673477,41.96087444,2631
POINT (-87.69635954254147 41.95819308492914),1204,HORNER (HENRY),228,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.69635954,41.95819308,2632
POINT (-87.69620726719604 41.95548711268315),1205,HORNER (HENRY),228,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.69620727,41.95548711,2633
POINT (-87.6976388412462 41.960621480096286),1207,HORNER (HENRY),228,GYMNASIUM,INDOOR,-87.69763884,41.96062148,2635
POINT (-87.69730541656578 41.95806120420053),1208,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69730542,41.9580612,2636
POINT (-87.69713743408145 41.95845588729206),1209,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69713743,41.95845589,2637
POINT (-87.69593627836262 41.95868470971219),1210,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69593628,41.95868471,2638
POINT (-87.69544845515546 41.95824870865875),1211,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69544846,41.95824871,2639
POINT (-87.69541914582094 41.95739138068645),1212,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69541915,41.95739138,2640
POINT (-87.6954220577942 41.95709939563075),1213,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69542206,41.9570994,2641
POINT (-87.69539256247857 41.956260905851885),1214,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69539256,41.95626091,2642
POINT (-87.69537004986412 41.95598761796792),1215,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69537005,41.95598762,2643
POINT (-87.69555544299233 41.955112644035054),1216,HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69555544,41.95511264,2644
POINT (-87.69797943672614 41.96008068571736),1217,HORNER (HENRY),228,PLAYGROUND,OUTDOOR,-87.69797944,41.96008069,2645
POINT (-87.69676727635691 41.95507227324379),1218,HORNER (HENRY),228,BASEBALL SR,OUTDOOR,-87.69676728,41.95507227,2646
POINT (-87.69710569640958 41.9565718327304),1219,HORNER (HENRY),228,BASEBALL SR,OUTDOOR,-87.6971057,41.95657183,2647
POINT (-87.69605294045871 41.96090833348588),1220,HORNER (HENRY),228,TENNIS COURT,OUTDOOR,-87.69605294,41.96090833,2648
POINT (-87.69572483289929 41.96090651172637),1221,HORNER (HENRY),228,TENNIS COURT,OUTDOOR,-87.69572483,41.96090651,2649
POINT (-87.69780044183253 41.9590435617165),1222,HORNER (HENRY),228,TENNIS COURT,OUTDOOR,-87.69780044,41.95904356,2650
POINT (-87.69761106121516 41.95905193246523),1223,HORNER (HENRY),228,TENNIS COURT,OUTDOOR,-87.69761106,41.95905193,2651
POINT (-87.69622961358694 41.96090931404393),1224,HORNER (HENRY),228,TENNIS COURT,OUTDOOR,-87.69622961,41.96090931,2652
POINT (-87.69590159988557 41.960898074066854),1225,HORNER (HENRY),228,TENNIS COURT,OUTDOOR,-87.6959016,41.96089807,2653
POINT (-87.60562887989244 41.803556858129305),1226,"HOUSTON (JESSIE ""MA"")",278,BASKETBALL COURT,OUTDOOR,-87.60562888,41.80355686,2654
POINT (-87.60536516109252 41.80356199024959),1227,"HOUSTON (JESSIE ""MA"")",278,BASKETBALL COURT,OUTDOOR,-87.60536516,41.80356199,2655
POINT (-87.60473455978133 41.80385050841633),1228,"HOUSTON (JESSIE ""MA"")",278,PLAYGROUND,OUTDOOR,-87.60473456,41.80385051,2656
POINT (-87.66391454785125 42.01886353323921),1229,HOWARD (URE) BEACH,1256,BEACH,OUTDOOR,-87.66391455,42.01886353,2657
POINT (-87.6642486020376 42.01907478636074),1230,HOWARD (URE) BEACH,1256,PLAYGROUND,OUTDOOR,-87.6642486,42.01907479,2658
POINT (-87.67851427634038 41.83127525153346),1231,HOYNE (THOMAS),1036,BASKETBALL COURT,OUTDOOR,-87.67851428,41.83127525,2659
