PARK,X_COORD,Y_COORD
KELLY (EDWARD),-87.69408306,41.81900485
KELLY (JOHN),-87.65699816,41.95348297
KELVYN (WILLIAM),-87.73856135,41.92917309
KELVYN (WILLIAM),-87.73815547,41.92971012
KELVYN (WILLIAM),-87.7381364,41.92918335
KELVYN (WILLIAM),-87.73855891,41.92943615
KELVYN (WILLIAM),-87.73776906,41.92997644
KELVYN (WILLIAM),-87.73773493,41.92914537
KELVYN (WILLIAM),-87.73720615,41.92936923
KELVYN (WILLIAM),-87.73886835,41.93029471
KELVYN (WILLIAM),-87.73710887,41.93007721
KELVYN (WILLIAM),-87.73858578,41.93029845
KELVYN (WILLIAM),-87.73841833,41.93030019
KENMORE,-87.65493655,41.93932062
KENNEDY (DENNIS),-87.6835768,41.68680972
KENNEDY (DENNIS),-87.68549414,41.68764165
KENNEDY (DENNIS),-87.6847066,41.68773845
KENNEDY (DENNIS),-87.68404535,41.68712725
KENNEDY (DENNIS),-87.68286136,41.68714437
KENNEDY (DENNIS),-87.68475673,41.68670246
KENNEDY (DENNIS),-87.68204631,41.68711032
KENNEDY (DENNIS),-87.68221508,41.68768708
KENNEDY (DENNIS),-87.68237665,41.68700469
KENNEDY (DENNIS),-87.68546189,41.68689702
KENNEDY (DENNIS),-87.68183531,41.68668403
KENNEDY (DENNIS),-87.68136506,41.68661776
KENNEDY (DENNIS),-87.68154784,41.68661284
KENNEDY (DENNIS),-87.68182343,41.68657898
KENNICOTT (JONATHAN),-87.59737155,41.81363933
KENNICOTT (JONATHAN),-87.5972589,41.81407603
KENNICOTT (JONATHAN),-87.59790031,41.81410066
KENSINGTON,-87.61580323,41.67999499
KENSINGTON,-87.6152459,41.67918663
KENSINGTON,-87.61594954,41.68010156
KENSINGTON,-87.61533817,41.67966774
KENSINGTON,-87.61595555,41.67956102
KENSINGTON,-87.61612133,41.67968491
KENSINGTON,-87.61563594,41.67882679
KEN-WELL,-87.73344179,41.9347165
KEN-WELL,-87.73333221,41.93408198
KEN-WELL,-87.73328041,41.93434953
KEN-WELL,-87.73352441,41.93381545
KEN-WELL,-87.73355448,41.93500322
KEN-WELL,-87.73379675,41.93553368
KENWOOD COMM.,-87.59298891,41.80487121
KENWOOD COMM.,-87.59324466,41.80554187
KENWOOD COMM.,-87.59354046,41.80444802
KENWOOD COMM.,-87.59242468,41.80470586
KENWOOD COMM.,-87.59356738,41.80570045
KENWOOD COMM.,-87.59285192,41.80554124
KENWOOD COMM.,-87.59293373,41.80587085
KENWOOD COMM.,-87.59354539,41.80530277
KENWOOD COMM.,-87.5924117,41.80531976
KENWOOD COMM.,-87.59214656,41.80578626
KENWOOD COMM.,-87.59231783,41.80578074
KEYSTONE,-87.72723225,41.91151957
KILBOURN,-87.73853618,41.9437936
KILBOURN,-87.73907898,41.94543749
KILBOURN,-87.73852256,41.94320172
KILBOURN,-87.73815974,41.94381769
KILBOURN,-87.73862073,41.94470994
KILBOURN,-87.73794203,41.9429552
KILBOURN,-87.73910906,41.9448993
KILBOURN,-87.73896597,41.94410274
KILBOURN,-87.73910206,41.94295185
KILBOURN,-87.7391821,41.94378553
KILBOURN,-87.73884979,41.94378381
KILBOURN,-87.7393389,41.94378166
KILBOURN,-87.73901286,41.94377997
"KING (MARTIN LUTHER, JR.)",-87.6545042,41.75465177
"KING (MARTIN LUTHER, JR.)",-87.65430926,41.75438242
KIWANIS,-87.71200596,41.97348038
KLEIN (LOIS),-87.67350444,41.94622102
KOLMAR,-87.74139847,41.95694783
KOLMAR,-87.74150904,41.95639941
KORCZAK (JANUSZ),-87.68887738,41.99392328
KOSCIUSZKO (THADEUZ),-87.72380735,41.93032276
KOSCIUSZKO (THADEUZ),-87.72431812,41.93160066
KOSCIUSZKO (THADEUZ),-87.72479248,41.93094167
KOSCIUSZKO (THADEUZ),-87.72382519,41.93090805
KOSCIUSZKO (THADEUZ),-87.72381597,41.93151142
KOSCIUSZKO (THADEUZ),-87.72525406,41.93127054
KOSCIUSZKO (THADEUZ),-87.72429643,41.9312813
KOSCIUSZKO (THADEUZ),-87.72524299,41.93057658
KOSCIUSZKO (THADEUZ),-87.72429967,41.93056894
LINCOLN (ABRAHAM),-87.63856688,41.9615929
LINCOLN (ABRAHAM),-87.63817579,41.94443353
LINCOLN (ABRAHAM),-87.63381357,41.93147459
LINCOLN (ABRAHAM),-87.64527275,41.96469115
KOSCIUSZKO (THADEUZ),-87.72435954,41.93021835
KOSCIUSZKO (THADEUZ),-87.72409355,41.93032248
KOSCIUSZKO (THADEUZ),-87.72355298,41.93031961
KRAUSE (FRANCIS VERNON),-87.53675568,41.70290657
KRAUSE (FRANCIS VERNON),-87.53686305,41.70291088
"KUCINSKI-MURPHY (VICKI, ROSEBETH)",-87.66655302,41.83302641
"KUCINSKI-MURPHY (VICKI, ROSEBETH)",-87.66629584,41.83310721
LA FOLLETTE (ROBERT),-87.7541645,41.9056082
LA FOLLETTE (ROBERT),-87.75337781,41.90499327
LA FOLLETTE (ROBERT),-87.7550575,41.90485546
LA FOLLETTE (ROBERT),-87.75509772,41.90504897
LA FOLLETTE (ROBERT),-87.7551179,41.90513788
